	text	label	update
0	▁ さん ぽ さ ー ー ん ! 御 祝 いの 言葉 嬉 しい で す 、 あり が とう ご ざ い ます ! ▁これ からも イベント と か 内 田 さん の ライブ と か お 会 い すること あ れば どう ぞ よ ろ しく お 願 い しま す .. . ! !	0	True
1	▁ @ o h 3 n an i w a 3 ▁ あり が とう ! ! ! ▁ う る さ く て ご め ん よ ▁これ からも 仲 良 く して ね	0	True
2	▁ @ s y o 195 5 en d o ▁ お は よう ご ざ い ます 洗 濯 日 和 で ～ す 今 日 は お 家の 事 頑 張 り ます 。	0	True
3	▁ @ b e a st _ s y ag a ▁同 じ く	4	True
4	▁一 応 w w w w w w w w w w ▁ でも 、 ち ー ちゃ ん キ モ イ も ん 大 好 き や ん ? ▁ 仲 良 く して よ	0	True
5	▁ 初 風 邪 。 ▁こう 見 えて 体 弱 い 系 女子 。	1	True
6	▁全 然 勉 強 でき て ない のに 4 時に 布 団 入 って まだ ね れない んだ け ど	1	True
7	▁ ラ フ が 汚 す ぎ て ペン 入れ 進 ま ん	1	True
8	▁12 月 突 入 ! ! ︎ 慣 れない 歌 と ダン スの 練 習 で 眠 れ や し ね ぇ .. .	0	True
9	▁ スカ パー ! 契約 して ない から 横浜 の 試合 観 れない では 内 科 ▁( ダ ジャ レ ぶ っ こ む な )	4	True
10	▁これ からは 吉 祥 寺 で 飲 む	4	True
11	▁ 待 って 今 ん と こ わた しの し ゅ き だけ の一 方 通 行	1	True
12	▁ 歯 医 者が 終 わった 。 次 回 は 被 せる 。 一 万 掛 か る って 。	1	True
13	▁ お 腹 減 った な ぁ 。 あ 、 昼 た べ て ない や	1	True
14	▁ 慎 吾 お は よう ▁ 連 動 になって なかった け ど 、 見 て きた よ ▁ 御 家 族の 笑 顔 が 本 当 に 素 敵 ▁ 記 事 読 んだ ら デ フ リン ピック の 事 も 分 か る かな ? ▁ 慎 吾 の お か げ で 知 ら なかった 事を 知 れる ▁ 明 日 、 絶 対 ▁ # 朝日 新聞 ▁ 買 う ね ▁ 今 日の ▁ # サン ス ポ ▁は g et した よ	0	True
15	▁ え っ ! ( 笑 ) 恥 ず か しい ( 笑 ) ▁また 絡 もう ね 絡 ん でき て ね 〜 〜 ♡ ▁ わた し も い っ き ま ー す	0	True
16	▁ お は よ ー ( ▁ ^ ^ ) 人 ( ^ ^ ▁) ▁ ち ょ っ と 凹 んだ け ど 頑 張 る よ ▁ 夜 、 楽 し み だ ね 〜 暴 れて く だ さ い	0	True
17	▁も ー あ さ から 。 ▁ 生 理 痛 が ひ ど い 。 ▁ モー 嫌 だ わ さ 。	1	True
18	▁ さ く ちゃ ー ん ! ! あり が とう 〜 〜 ▁ 朝 晩 寒 いの と イベ の 疲 れ か も .. . ゆ っ く り 休 める ように する ね ー ! 本 当 あり が とう ー ! !	0	True
19	▁ お ぉ ぉ ぉ ぉ す ご いで す ね ぇ ▁ キ チン と 正 装 して ▁ 今 井 遥 さん も 一 緒 って 、 これ また ス ゴ イ ▁ 訪 問 お 疲 れ 様 で した ▁ # M in t Z 九州 ▁ # 東京 府 中 市	0	True
20	▁ @ P et e y b ir d 3 15 ▁ @ C 9 _ G o o f y ▁ 電車 で 巨 人 ファ ンの サ ラ リー マン 軍 団 に 試合 結果 聞 かれ ま した ご め んな 〜 .. . って 言 われ ま した .. . ヽ ( ` Д ▁ ́ # ) ノ ▁ ム キー ! !	2	True
21	▁ @ m at ur i k a _ m i y u k i ▁ お は よう ご ざ い ます ▁ 走 り 出した ら 小 雨 で した ▁ 今 の 季 節 ▁小 雨 も 気 持ち 良 いで す	0	True
22	▁ リ ビ ング に いる と 風 呂 の 戸 が 勝 手 に 開 閉 して て 怖 い	3	True
23	▁ @ y u h e y an 8 20 ▁全 部 か 〜 あり が と 、 こ ころ し と く	3	True
24	▁ 良 幸 く ん 可 愛 い 何 かい つ もの ヤ ス じ ゃ ない	0	True
25	▁ @ _ _ K _ _ 10 18 ▁ 僕 も 最 近 同じ ような 事を よく 思 い ます 。 知 って いて 損 はない と思 い ます し 、 知 っている 事 で 共通 の 話 題 になり 、 そこ から 色 々 派 生 する 場合もある と 実 感 して ます	4	True
26	▁ 花 丸 安定 く ん 「 僕 の 目 を見 て ! キ リ ッ 」 ▁※ フラ グ で す	4	True
27	▁ @ t ak es h i _ 0 22 8 ▁ 残 念 .. . は ずれ で す ▁8 / 28 ( 火 ) まで 一 投 稿 に 付き 一 回 チャ レンジ できる よ ▁マ ック フ ルー リー ▁ 白 い ブラ ック サン ダー が 8 / 29 ( 水 ) より 全国 で 販売 開始 絶 対 食べ て ね ▁p ic . t w it ter . c om / O 1 h 3 WS e H c H	1	True
28	▁ 好 き な 時に 好 き な 仲 間 と 好 き な ことを する ▁ 納 得 。	0	True
29	▁ や と思 う な 〜 ▁ ほ ん ま にな ! ! ︎	0	True
30	▁ @ s 2 p m a ▁ な に す た	4	True
31	▁ フル 単 は お も んな	2	True
33	▁ 人 山 生 誕 じ ゃ ない と か き れ そ ー ▁ 今 年 中に や らない と 9 8 が ▁p ic . t w it ter . c om / Z c z D v c b T U l	2	True
34	▁ @ p ip i _ n i b u ▁は じめ ま して ! ! ︎ に く お と 申 しま す ! ! ︎ 遅 く なり ま したが イ ナイ レ タ グ の 反応 あり が とう ご ざ い ます ▁ 誤 反応 で なければ 繋 が り ま せん か ?	0	True
35	▁ 腹 が 痛 ～ ～ ～ い	1	True
36	▁ @ m e g 12 k a z 29 ▁ お は よう ご ざ い ます ッ ▁ お 気 に入 りを ▁ あり が とう ご ざ い ます 。 ▁ ト マ ト た く さん 収 穫 でき ま した ね ～ お い し そう で す	0	True
37	▁ @ as k r y r n k ▁ う わ ぁ 早 起 き だ ね ! 元 気 り ん り ん ぎ ゃ ん ば り ん こ	0	True
38	▁その く せ レ フィ ア 超 絶 引 け ない し	1	True
39	▁ @ c r u el c r u el 49 5 ▁ あ な た な んな の 。 ← ▁ い や 全 部 じ ゃ な き ゃ 嫌 だ	3	True
40	▁ 乃 木 坂 ちゃ ん 、 お は よう ご ざ い ます ( * ' ω ' * ) ▁ こ っ ち は 風 が 強い だけで 雨 降 って はない ので まだ マ シ か .. .. .. .. .. .. ▁ 今 日 も よ ろ しく お 願 い しま す ( * ' ω ' * )	4	True
41	▁ @ p i an is s im o _ 14 ▁ 動 画 、 見 ま した ! 歌 う と ノ リ が 良 く て ス ラ ッ と 歌 える け ど 、 ピア ノ で 弾 く ところ 見 ると 超 難 し そう ▁ ジョン からの メ ッセ ージ 嬉 しい で す ね	4	True
42	▁ み ー が 嘘 つ く	2	True
43	▁ ね え 、 ま じ な んな の	2	True
44	▁ 確 かに 頭 湧 いて る な w w ▁ な ん でも かん でも ラ ブ ライブ の せ いに する な って 話	2	True
45	▁ ず る さん お は まる 〜 ( ๑ ° ꒵ ° ๑ )・ * ♡ ▁ 風 強い ね 〜 ▁ 気 をつ けて ね	4	True
46	▁ 次 男 君 こ んな 時間 から 昼 寝 した ま ぁ や っ と 静 かな 時間 過 ご せる から 今 のうち に 夕 飯 作 って しま お う 今 日 は 時間 に 余 裕 のある 夜 を 過 ご せ そう だ	0	True
47	▁ び び った ー ▁ 勉 強 して たら 急 に 部屋 の 電気 、 パ ッ ! ▁ って 消 えて 一 瞬 心 臓 と まる か と思 った ! ▁この タイ ミ ング で この 時間 に 、 電 球 切 れる と か ほ ん ま に や めて ほ しい ! ▁ な ん か ム ダ に 目 覚 めた し	3	True
48	▁ お は よう ご ざ い ます ▁ 13 ° C Σ ( ▁ ゚ Д ゚ ) 気 温 差 大き いで す ね .. . 体 調 崩 さ ない よう 気 をつ けて く だ さ い ! 私 も 気 を 付け ます ! ! ▁ 私 は 補 講 がある ので 今 日から 大学 で す ! 休 み 明 け で 辛 いで す が 、 明 日 郁 く ん に 会 える の を 楽 し みに が ん ば って き ます	0	True
49	▁g m ▁と ゆ う か 寝 て ない 寝 れて ない	1	True
50	▁ 久 々に スト レス 解 消 で 飲 んだ ら ▁この 有 様	1	True
51	▁ 食 料 を 買 いに .. . ▁ オープン まで 、 しば し 待 機	4	True
52	▁この 顔 が 総 て を 物語 っている わ ね p ic . t w it ter . c om / O o 1 T 2 M K N M K	4	True
53	▁ く り った る う つ く しい 〜 〜	0	True
54	▁ 次の 日 また み る w w w w た ま に 奇 跡 的に ある ん や て ▁ お 年 玉 で 半 分 け ー ぽ っ ぷ	0	True
55	▁ お は よ ! ▁一 昨 日の リ ハ ビ リ の後 から 、 脚 を引き ず って 歩 いている の だけ れ ど ▁ 病 友 に 言 わせ ると 、 筋 肉 痛 で 脚 引き ず る ほど は あり 得 ない って ▁この 土 日 、 変 わ ら なければ 火 曜 日の 診 察 に 行 く しか ない かな ▁ # 股 関 節 疾 患	1	True
56	▁ ど ー よ ー し す ぎ て ま ち が えた もう 知 らない っ ! 知 らない っ ! 知 らない っ ! だった	1	True
57	▁ ちゃ ん と 覚 えて ない け ど な ん か 顔 絵 文字 増 えた ? ? 説明 見 る とな ん じ ゃ そ り ゃ ? て の もある ▁ ← が っ かり したが 安 心 した 顔 ▁ ← 眠 い 顔	4	True
58	▁ @ re i _ t am a 21 ▁と かい い ながら い ま の アイ コン プリ じ ゃ ない よ な ? まず 、 な ぜ 前 髪 そ んな う ま く できる んだ ← ▁ 残 念 ながら さ す が の 私 も ネ ガ になる か も .. .	1	True
59	▁ @ al ter n at iv e _ as a ▁ 電 波 悪 く て 応 答 鈍 かった んだ 〜 ! ▁ う へ え .. . あり が とう ▁ あ さ ひ ちゃ ん の コ ラ ボ も 見 たい よ	0	True
60	▁ せ めて 邪 ン ヌ を 仲 間に した い .. . ハ ア ハ ア p ic . t w it ter . c om / k 4 a XB H B u E H	0	True
61	▁ DJ 楽 し かった ! ! ( ^ ^ ) ♪ ♪ ▁ 明 日 5 時 起 き どう し よ	0	True
62	▁ @ c on n os u k e ▁ @ S am N o z ak i ▁ エンジン 割 れて る って こと ～ ? ? 流 石 だ な ぁ 。	4	True
63	▁( ╭ ☞ • ́ ⍛ • ̀ ) ╭ ☞ それ な ▁ ち ま ち ま 描 く から 集 中 力 全 然 持 た ない し ( 私 だけ か も ) ▁ い や い や ! それ は こ っ ち の 台 詞 だ よ .. . 指 とは 思 えない 綺 麗 さ で 羨 ま しい	1	True
64	▁ あ っ ! さ ッ ちゃ ん も ▁ うち さ 、 ホ ント に 制作 中 止 続き で 、 何 としても G E T した い って 意 地 になって 参加 した け ど 、 こと ごと く 連絡 取 れない と か 制作 中 止 の 事 態 に .. . ▁ 自分 疫 病 神 な ん じ ゃ ない か と 本 当 に 思 って た ヒ ョ ン ライン 参加 した け ど 、 何 一 つ 届 いて ない ( 泣 ) もう 泣 けて くる	1	True
65	▁ お は よう ご ざ い ます 、 台 風 過 ぎ ま した 。 今 日 も が ん ば る ん ば ←	0	True
66	▁ 朝 イ チ で 万 太郎 の 周 回 して ま したが 落ち ず でも 負 ける ことは なく な って 成長 を 感 じ ます 笑 ▁p ic . t w it ter . c om / 0 y d P I F F C 7 U	0	True
67	▁ お は も も か ▁5 :00 起 き からの 労働 中 ▁ 今 日 も 一 日 が ん ば り マ ツ コ \ ( ^ o ^ ) / ▁ モ ノ ノ フ の 皆 さん 〜 「 い って ら っ しゃ ー い 」 ▁p ic . t w it ter . c om / VDV o XI o z A M	0	True
68	▁ Z ay n の 買 った 動 く ロ ボ ット って な んだ ろ ー な ?	4	True
69	▁ 僕 も ケース 買 お う ▁ R T ▁ @ m u _ l ion : ▁ お 薬 ケース を手 に入 れた 今 まで 会社 において た サ プリ 一 式 も 小 分 け にして 持ち 歩 ける や ん	0	True
70	▁ @ m ar ch h im a w ar i 32 ▁( * ▁ ́ ▿ ` * ) ゆ み さん ! お は よう ☆ ▁ う ん ♪ 笑 顔 を 忘 れ ず に ▁ 良 い 一 日 を 、 今 日 も ヨ ロ シ ク !	0	True
71	▁ @ r i am oc o _ ▁ スト パ タ グ 反応 いた だ き あり が とう ご ざ い ます ! スト パ で リカ ルド していた D ak ar a と 申 しま す 初 回 のみ 定 型 文 で 失 礼 しま す ▁ 良 かった ら 仲 良 く して く だ さ い ▁ フォ ロー 失 礼 しま す ! ▁ って 、 メ グ メ グ .. ? メ グ メ グ ! ? 池 ハ ロ ル チ アー ノ 初 出し ので 挨 拶 させ て く だ さ い	0	True
72	▁1 年 と か 死 ん ぢ ゃ う	1	True
73	▁ 朝 起 き て 時 計 見 て ▁ う わ 今 日 テスト や ん ! って な って ▁ ショ ック や った	3	True
74	▁ し ご お わ だ ぜ ー	0	True
75	▁ @ _ s a e p on ▁ さ え ちゃ ん お 家 に 電話 した の に出 なかった 明 日 朝 には 行 く ね	4	True
76	▁ @ i ro t u b u ▁ お は よう で す ! 今 日 は お 天 気 で す ! お 友 達 が 来 て く れる って また 用 事が は か ど り ます よ ね ! さ さ ー と や って ! お 友 達 と 楽 しい 一 日 になり ます ように ! 今 日 も よ ろ しく で す !	0	True
77	▁ @ DJ _ GI N SU K E ▁ お け い	4	True
78	▁ あ の バ カ して た 頃 が 懐 か しい な って なる ▁ 制 服 って い い な って	1	True
79	▁ 誘 導 する の め ちゃ く ちゃ 上 手 そう 赤 井 さん ( 笑 ) 皆 知 らない 内に 友 情 エ ンド .. . 零 く んだ け 以上 に 難 易 度 高い で す 難 しい 。 って レ ビュー に 書 かれる や つ w ▁ あ か あ む 横 目 に見 ながら 自分 は キ ッド と 付き 合 う 最高 じ ゃ ん .. . w ▁ ふ ふ ふ .. あ か あ む 勢 に バ カ 売 れ する の間 違 いない .. . ただし 他 C P なし 赤 安 のみ 笑	0	True
80	▁ @ 00 o om im i ▁ 明 日 大 丈 夫 ぅ	4	True
81	▁ お は よ ー ▁ お 弁 当 作 り お 疲 れ 様 ▁ 今 日 も 元 気 によ ろ しく ▁ 今 ▁ 薬 も ら いに 病院 で す	0	True
82	▁ @ p ar u _ sp r ing ▁ ハ ル ちゃ ん オ ハ よ ぉ ▁ こ り ゃ 凄 いわ ▁ア ゴ 外 れる よ 〜 Σ ( ゚ ◇ ゚ ; ) ゲ ゲ ッ ▁ まだ まだ 暑 い け ど も うち ょ っ と だけ が ん ば ろ ぉ ね 。 ▁ 今 日 も よ ろ しく ね 〜 ( * ^ o ^ ) ノ ⌒ ☆ + ゚ ・	0	True
